Subject,Sex,Stim,Pain
1,female,low,10
1,female,high,50
1,female,med,20
1,female,high,50
1,female,low,NA
1,female,high,30
1,female,med,40
1,female,med,50
1,female,high,NA
1,female,med,20
1,female,low,20
1,female,med,NA
1,female,high,60
1,female,high,70
1,female,low,NA
1,female,high,20
1,female,low,30
1,female,low,20
1,female,high,60
1,female,low,40
1,female,high,70
1,female,med,50
1,female,low,30
1,female,med,50
1,female,low,70
1,female,med,60
1,female,high,80
1,female,med,70
1,female,med,60
1,female,low,70
1,female,high,80
1,female,med,90
1,female,high,80
1,female,low,50
1,female,med,60
1,female,low,NA
1,female,high,40
1,female,high,60
1,female,low,30
1,female,high,60
1,female,med,50
1,female,high,70
1,female,high,80
1,female,med,50
1,female,high,30
1,female,low,20
1,female,med,30
1,female,high,40
1,female,med,50
1,female,low,30
1,female,med,50
1,female,low,30
1,female,low,30
1,female,med,40
1,female,med,30
1,female,low,30
1,female,high,60
1,female,low,40
1,female,low,20
1,female,med,40
2,male,high,40
2,male,med,20
2,male,med,10
2,male,high,10
2,male,high,50
2,male,med,20
2,male,low,20
2,male,high,30
2,male,med,50
2,male,low,20
2,male,med,25
2,male,low,10
2,male,high,15
2,male,med,10
2,male,high,15
2,male,low,30
2,male,low,30
2,male,high,40
2,male,low,15
2,male,med,30
2,male,med,10
2,male,high,20
2,male,high,40
2,male,med,40
2,male,high,50
2,male,low,10
2,male,med,5
2,male,high,15
2,male,high,40
2,male,low,5
2,male,low,10
2,male,med,20
2,male,low,25
2,male,high,20
2,male,low,20
2,male,high,15
2,male,high,25
2,male,low,20
2,male,med,20
2,male,med,30
2,male,low,20
2,male,med,30
2,male,low,5
2,male,med,15
2,male,med,20
2,male,low,20
2,male,med,30
2,male,high,40
2,male,low,20
2,male,med,50
2,male,low,30
2,male,med,50
2,male,high,50
2,male,high,40
2,male,low,40
2,male,low,10
2,male,high,40
2,male,low,60
2,male,med,50
2,male,high,60
3,female,low,NA
3,female,high,1
3,female,med,1
3,female,high,1
3,female,low,NA
3,female,high,5
3,female,med,1
3,female,med,1
3,female,high,15
3,female,med,5
3,female,low,1
3,female,med,10
3,female,high,15
3,female,high,15
3,female,low,1
3,female,high,15
3,female,low,10
3,female,low,15
3,female,high,25
3,female,low,5
3,female,high,20
3,female,med,20
3,female,low,10
3,female,med,20
3,female,low,NA
3,female,med,1
3,female,high,15
3,female,med,20
3,female,med,15
3,female,low,1
3,female,high,5
3,female,med,5
3,female,high,10
3,female,low,0
3,female,med,1
3,female,low,NA
3,female,high,5
3,female,high,20
3,female,low,10
3,female,high,5
3,female,med,0
3,female,high,5
3,female,high,15
3,female,med,15
3,female,high,1
3,female,low,5
3,female,med,NA
3,female,high,5
3,female,med,1
3,female,low,1
3,female,med,10
3,female,low,0
3,female,low,1
3,female,med,5
3,female,med,10
3,female,low,5
3,female,high,15
3,female,low,10
3,female,low,1
3,female,med,20
4,male,high,50
4,male,low,NA
4,male,high,60
4,male,med,40
4,male,high,30
4,male,low,20
4,male,med,10
4,male,high,40
4,male,low,10
4,male,med,30
4,male,high,30
4,male,med,30
4,male,low,NA
4,male,high,40
4,male,med,10
4,male,high,60
4,male,med,10
4,male,med,30
4,male,low,20
4,male,low,10
4,male,high,10
4,male,low,NA
4,male,med,20
4,male,low,15
4,male,low,NA
4,male,high,20
4,male,high,40
4,male,med,20
4,male,low,30
4,male,high,40
4,male,med,40
4,male,low,NA
4,male,low,40
4,male,high,60
4,male,low,30
4,male,high,60
4,male,high,60
4,male,med,50
4,male,low,30
4,male,med,30
4,male,low,NA
4,male,low,10
4,male,med,30
4,male,low,10
4,male,high,40
4,male,med,20
4,male,high,50
4,male,med,60
4,male,high,40
4,male,low,NA
4,male,med,60
4,male,high,50
4,male,med,20
4,male,med,40
4,male,low,20
4,male,low,10
4,male,high,50
4,male,med,20
4,male,med,30
4,male,high,40
5,male,high,20
5,male,low,10
5,male,high,30
5,male,med,40
5,male,high,20
5,male,low,20
5,male,med,10
5,male,high,25
5,male,low,10
5,male,med,30
5,male,high,35
5,male,med,25
5,male,low,5
5,male,high,20
5,male,med,20
5,male,high,30
5,male,med,25
5,male,med,35
5,male,low,10
5,male,low,5
5,male,high,35
5,male,low,10
5,male,med,20
5,male,low,NA
5,male,low,5
5,male,high,10
5,male,high,20
5,male,med,35
5,male,low,30
5,male,high,40
5,male,med,40
5,male,low,15
5,male,low,10
5,male,high,25
